 * Serving Flask app "run.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
/usr/local/lib/python2.7/site-packages/flask_sqlalchemy/__init__.py:794: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:36] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:24:45] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:45] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:46] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:47] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:51] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:52] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:52] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:52] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:52] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:24:55] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:56] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:05] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:07] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:07] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:07] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:25:08] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:09] "GET /static/images/blr-map.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:13] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:19] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:20] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:25:21] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:26:04] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:26:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:26:13] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:21] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
